RunDate,Ticker,AdjClose,SMA200,PctBelow
2026-03-05,AMS.MC,52.7599983215332,64.73107616424561,-18.4935560353385
2026-03-05,TEF.MC,3.624000072479248,3.9901343524456023,-9.175988766943298
2026-03-05,GRF.MC,10.5,11.237988724708558,-6.566911061994296
2026-03-05,RED.MC,14.989999771118164,16.011161279678344,-6.377810395653539
2026-03-05,ANE.MC,21.059999465942383,22.149285202026366,-4.9179272655910715
2026-03-05,FDR.MC,22.15999984741211,23.224290647506713,-4.582662248971047
2026-03-05,NTGY.MC,24.979999542236328,25.940966358184813,-3.7044372313650653
2026-03-05,COL.MC,5.355000019073486,5.5449667739868165,-3.4259313474072406
2026-03-05,IAG.MC,4.388000011444092,4.449051131010055,-1.3722278699031976
2026-03-05,SAB.MC,3.069999933242798,3.0958070290088653,-0.8336144832105319
2026-03-05,MAP.MC,3.7679998874664307,3.791481958627701,-0.6193375418241276
